사업장명,소재지전화,소재지면적,소재지전체주소,도로명전체주소,도로명우편번호,좌표정보(x),좌표정보(y),위도,경도
자연동물병원,063-462-7733,132.0,전북특별자치도 군산시 수송동 819-3,전북특별자치도 군산시 공단대로 252 (수송동),54101.0,174099.8906,273305.3725,35.95970559109869,126.7136941610822
로지동물의료센터,02-6958-8575,121.68,서울특별시 송파구 거여동 697 송파시그니처롯데캐슬,"서울특별시 송파구 거마로 56, 송파시그니처롯데캐슬 상가동 지하1층 1-3,1-4호 (거여동, 송파시그니처롯데캐슬)",5767.0,213149.5228,443705.4731,37.495461967525344,127.1494857917052
뿌리동물병원,0315460375,0.0,경기도 수원시 팔달구 인계동 986-16,"경기도 수원시 팔달구 세지로 178, 1,2,3층 (인계동)",16476.0,201902.4364,418363.5009,37.26721734109757,127.02223877691557
한국마사회 부산경남부속동물병원,051-901-7434,1003.63,부산광역시 강서구 범방동 1833,부산광역시 강서구 가락대로 929 (범방동),46745.0,371094.2857,185672.9879,35.15568339098941,128.87846949146402
명지오션시티동물병원,051-271-7582,0.0,부산광역시 강서구 명지동 3238,부산광역시 강서구 명지오션시티11로 66 (명지동),46765.0,373495.7945,177766.2244,35.084043252520274,128.90315528688936
스마일동물병원,0519017384,82.3,부산광역시 강서구 범방동 1833,부산광역시 강서구 가락대로 929 (범방동),46745.0,371094.2857,185672.9879,35.15568339098941,128.87846949146402
해옴동물병원,051-271-8119,190.42,부산광역시 강서구 명지동 3239-5,"부산광역시 강서구 명지오션시티4로 69, 201호 (명지동)",46764.0,373568.7516,177628.0327,35.0827857828957,128.90392594207006
네오메디컬동물병원,051-291-4545,0.0,부산광역시 강서구 명지동 3442-4,부산광역시 강서구 명지국제6로 234 (명지동),46726.0,375286.3802,179175.9659,35.09643359187967,128.923076901272
국제동물병원,051-204-7588,0.0,부산광역시 강서구 명지동 3357-6 미주프라자,"부산광역시 강서구 명지국제8로 243, 미주프라자 205호 (명지동)",46773.0,374957.7283,179392.3781,35.09844021320349,128.91952022809295
이로운동물병원,0519167575,0.0,부산광역시 강서구 명지동 3331-7번지,"부산광역시 강서구 명지국제11로 35, 103동 105호 (명지동)",46726.0,375206.5906,180094.1179,35.104718677614805,128.9223964046521
마리동물병원,051-901-7482,0.0,부산광역시 강서구 범방동 1833 부산경남경마공원,"부산광역시 강서구 가락대로 929, 부산경남경마공원 (범방동)",46745.0,371094.2857,185672.9879,35.15568339098941,128.87846949146402
하단동물병원,291-4456,0.0,부산광역시 사하구 하단동 608-1번지,부산광역시 사하구 하신중앙로 296 (하단동),49414.0,378926.782,180039.9103,35.10357715236152,128.96316505779066
하단오거리 동물의료센터,264-8275,265.04,부산광역시 사하구 하단동 617-10번지,"부산광역시 사하구 하신중앙로 340, 1층 (하단동)",49407.0,379316.7171,180252.5913,35.10542378995295,128.96748540322878
한솔동물병원,201-0475,107.0,부산광역시 사하구 괴정동 262-1번지,부산광역시 사하구 낙동대로 184 (괴정동),49338.0,381944.4684,179879.7156,35.101594179314546,128.99620829101946
스마트동물병원,261-1891,48.0,부산광역시 사하구 다대동 1551-39번지,부산광역시 사하구 다대로 624 (다대동),49503.0,379691.4175,174201.2482,35.050844597486766,128.97028242891355
다대동물병원,266-7582,0.0,부산광역시 사하구 다대동 909번지,부산광역시 사하구 다대로 549 (다대동),49524.0,379768.0509,174910.8576,35.05722338645045,128.97127545918883
괴정동물병원,207-3344,43.0,부산광역시 사하구 괴정동 896-17,"부산광역시 사하구 낙동대로 246-1, 1층 (괴정동)",49341.0,381387.2669,179633.5942,35.09947743659167,128.99004683634521
지 동물병원,051-728-0557,173.0,부산광역시 기장군 정관면 용수리 1312-5번지,부산광역시 기장군 정관면 용수로 21,46014.0,398018.5917,205092.901,35.32566073144808,129.17844289332024
아산동물의료센터,727-7522,106.9,부산광역시 기장군 정관읍 매학리 717-3번지,부산광역시 기장군 정관읍 정관로 583,46015.0,397967.1708,204592.4916,35.321163831146364,129.17775694526054
정관착한동물의료센터,051-923-0119,273.92,"부산광역시 기장군 정관읍 매학리 713-6 정관제일타워Ⅱ 202,203호","부산광역시 기장군 정관읍 정관로 575-3, 정관제일타워Ⅱ 202, 203호",46015.0,397873.6817,204631.5309,35.32153394487748,129.17673897221601
디알씨동물병원,051-624-8275,122.0,부산광역시 기장군 기장읍 동부리 124번지,부산광역시 기장군 기장읍 차성로 314,46061.0,401451.7659,196278.1034,35.24558374058278,129.21401119948644
부산야생동물치료센터,209-2091,881.57,부산광역시 사하구 하단동 1207-1,부산광역시 사하구 낙동남로 1240 (하단동),49435.0,377006.9204,180185.0867,35.10522376779317,128.94215102906043
고동물병원,246-0473,74.7,부산광역시 중구 남포동5가 51-7번지,부산광역시 중구 자갈치로47번길 5 (남포동5가),48983.0,384955.1257,179511.633,35.097730886798274,129.02912604967563
희망종합동물병원,241-0103,53.85,부산광역시 중구 남포동5가 60-0001번지 2층,"부산광역시 중구 구덕로 51, 2층 (남포동5가)",48983.0,385046.215,179539.724,35.097967223626945,129.0301306976281
피닉스동물병원,246-7551,92.38,부산광역시 중구 남포동2가 36-0007번지 외 1필지(남포동4가 1-2번지),부산광역시 중구 구덕로 30-1 (남포동2가),48954.0,385264.539,179559.2188,35.098102756624364,129.03252798272155
대신동물병원,051-254-2304,0.0,부산광역시 서구 서대신동3가 490-1번지,부산광역시 서구 망양로 19-1 (서대신동3가),49210.0,383451.6379,181120.9181,35.112501982467535,129.01300331090187
길경진동물병원,244-5504,53.0,부산광역시 서구 동대신동2가 368-1번지,부산광역시 서구 구덕로 308 (동대신동2가),49217.0,383853.3386,181003.4035,35.11137023141988,129.01738087456246
만박동물병원,0512547744,179.51,부산광역시 서구 토성동1가 8-25,"부산광역시 서구 까치고개로 257, 1층 (토성동1가)",49224.0,384481.3637,179718.936,35.09968503136601,129.02397953592927
대호동물병원,051-256-1188,156.0,부산광역시 서구 토성동5가 34-3 해오름상가1층,"부산광역시 서구 구덕로 130 (토성동5가, 해오름상가1층)",49246.0,384325.619,179413.6862,35.09696380994463,129.02220458723855
삼성종합동물병원,051-205-1017,0.0,부산광역시 사하구 감천동 682번지 감천백산상가2-1호,부산광역시 사하구 감천로 32 (감천동),49446.0,381947.348,178690.0983,35.0908773907083,128.99597878317445
라온동물병원,291-7900,53.01,부산광역시 사하구 하단동 505-8번지,부산광역시 사하구 낙동대로 511 (하단동),49309.0,379149.295,180733.465,35.10978540845885,128.96575410944732
코끼리동물병원,051-204-7576,0.0,부산광역시 사하구 신평동 589-1번지,부산광역시 사하구 하신번영로 201 (신평동),49431.0,378500.6006,179507.0594,35.0988525625593,128.9583786433193
좌천동물병원,727-0170,20.0,부산광역시 기장군 장안읍 좌천리 252-13,부산광역시 기장군 장안읍 해맞이로 17-1,46033.0,404115.2555,203878.7833,35.31350048669169,129.245141336854
영덕울진축협 동물병원,054-733-7120~3,150.0,경상북도 영덕군 영덕읍 화수리 592,경상북도 영덕군 영덕읍 영덕로 366,36423.0,413082.5805,327638.3401,36.42606429162601,129.37671278298203
박동물병원,372-5506,0.0,경상북도 청도군 풍각면 송서리 578-9 16통5반,경상북도 청도군 풍각면 헐티로 198,38308.0,346615.6763,239197.9509,35.641785594229624,128.61954177825507
고려동물병원,371-0563,45.0,경상북도 청도군 청도읍 고수리 854-1번지 8통11반,경상북도 청도군 청도읍 청화로 217,38341.0,358179.3956,239195.7527,35.639983460025945,128.7471616055164
청도축협동물병원,373-5205,255.6,경상북도 청도군 화양읍 동천리 139-2번지,경상북도 청도군 화양읍 청려로 1790,38333.0,355122.797,240369.4985,35.651041734081424,128.71365492026658
우리동물병원,054-373-3366,53.8,경상북도 청도군 화양읍 범곡리 140-3번지,경상북도 청도군 화양읍 청화로 55,38329.0,356937.9967,240118.4325,35.64849340734712,128.73364118310008
우성동물병원,054-373-7115,75.67,경상북도 청도군 청도읍 원정리 534-3번지,경상북도 청도군 청도읍 중앙로 78,38337.0,358606.7645,239893.9094,35.64620441599996,128.75201515182655
이솝동물병원,052-295-8875,362.93,울산광역시 북구 매곡동 898-2,울산광역시 북구 당수골2길 3(매곡동),44225.0,413714.1594,239986.2095,35.636660319650986,129.3600900313865
정철 동물병원,052-287-0348,0.0,울산광역시 북구 진장동 727-4,울산광역시 북구 진장17길 11 (진장동),44250.0,413478.9035,231692.1172,35.56202072437487,129.3553057968043
호계동물병원,052-265-8275,100.97,울산광역시 북구 신천동 431-12,울산광역시 북구 호계로 365-1 (신천동),44221.0,412610.6753,239802.4672,35.63524351839494,129.34786895886495
서울한빛동물병원,052-297-7582,77.29,울산광역시 북구 상안동 357,"울산광역시 북구 신답로 48 (상안동, 프리지아)",44209.0,412186.1266,239113.3627,35.62912910672638,129.34300469068094
울산착한동물병원,052-291-1190,0.0,울산광역시 북구 매곡동 230 102호,"울산광역시 북구 매곡산업로 177, 102호 (매곡동)",44225.0,413866.5754,240278.8712,35.63926283695839,129.3618488733664
화봉GL동물병원,052-288-9191,112.2,울산광역시 북구 화봉동 1463번지 화봉 쌍용예가 124동 113호,"울산광역시 북구 화동로 11, 124동 1층 113호 (화봉동, 화봉 쌍용예가)",44240.0,414529.3837,235091.8679,35.59240952320467,129.36778368348226
울산동물병원,297-0979,400.5,울산광역시 중구 학성동 192-1,울산광역시 중구 학성공원13길 45 (학성동),44527.0,411839.8643,230949.0797,35.5556808287795,129.33704777103347
라온 동물 메디컬센터,286-5050,0.0,울산광역시 중구 반구동 26-6번지,울산광역시 중구 번영로 524 (반구동),44508.0,412098.1465,232133.9937,35.566296279300786,129.3402042080219
전영호동물병원,292-4112,81.0,울산광역시 중구 반구동 106-6번지,울산광역시 중구 구교로 163 (반구동),44513.0,412104.371,231353.7915,35.559268904327496,129.34006858238487
이박사동물병원,211-0023,0.0,울산광역시 중구 성남동 182-8번지,울산광역시 중구 중앙길 75 (성남동),44529.0,410078.1411,230855.5064,35.55521283363225,129.31760888309944
우정 동물병원,281-2294,0.0,울산광역시 중구 유곡동 475-10번지,"울산광역시 중구 종가3길 24, 1층 (유곡동)",44539.0,408192.9166,231382.5846,35.56035702121808,129.2969684486091
닥터강동물병원,246-3123,57.2,울산광역시 중구 태화동 37-7번지,울산광역시 중구 화진길 13-2 (태화동),44452.0,409263.7899,230795.413,35.5548437915973,129.30861898559814
산타클라라동물병원,244-4296,0.0,울산광역시 중구 다운동 552-2번지 대왕빌딩 1층,울산광역시 중구 다운로 1 (다운동),44407.0,406245.027,230833.0814,35.55581529641689,129.27536050108523
태화동물병원,211-2399,0.0,울산광역시 중구 태화동 428-2,울산광역시 중구 태화로 160 (태화동),44457.0,407880.8398,230529.6116,35.55274084936049,129.29331024474325
제갈견 동물병원,212-2475,98.35,울산광역시 중구 우정동 279-2,울산광역시 중구 명륜로 64-1 (우정동),44467.0,409475.2121,231081.5635,35.55737612628786,129.3110228621775
리틀쥬동물의료원,268-8884,358.9,울산광역시 남구 신정동 576-18,울산광역시 남구 봉월로 104 (신정동),44670.0,409088.1383,229335.1443,35.54173016289648,129.30630671261034
울산 이승진동물병원,258-2516,490.0,울산광역시 남구 달동 1400-5,울산광역시 남구 삼산로 94 (달동),44722.0,410157.2089,228556.745,35.53449440197674,129.31788454204184
문수동물병원,052-223-5575,0.0,울산광역시 남구 무거동 461 웰츠타워,"울산광역시 남구 대학로 164, 102호 (무거동, 웰츠타워)",44611.0,405168.7369,230008.7398,35.54861455654084,129.26329039745056
강남동물병원,267-0025,87.7,울산광역시 남구 달동 1328-3번지,울산광역시 남구 돋질로 234 (달동),44703.0,411287.2817,229487.1199,35.542633018159634,129.33057724787668
옥동종합 동물병원,266-0075,70.0,울산광역시 남구 옥동 249-3,울산광역시 남구 문수로 358 (옥동),44662.0,407853.3739,228500.5043,35.53447298270604,129.29248755101966
원헬스 동물의료센터,247-7975,434.13,울산광역시 남구 무거동 228-1,"울산광역시 남구 북부순환도로 23, 1층 (무거동)",44629.0,405433.6134,230398.6922,35.55207161961438,129.26630807398092
일산동물의료센터,052)252-5878,0.0,울산광역시 동구 일산동 574-33번지 1통3반,울산광역시 동구 방어진순환도로 645 (일산동),44067.0,420250.4306,224904.3804,35.49941719846306,129.42808922714104
방어진 행복한 동물병원,052)235-7585,96.74,울산광역시 동구 방어동 73-1번지,울산광역시 동구 방어진순환도로 548 (방어동),44059.0,420112.4351,223926.9659,35.4906461979318,129.42630503290437
손대하 동물병원,052-234-7576,0.0,울산광역시 동구 일산동 948-3,"울산광역시 동구 일산진6길 22, 1층 (일산동)",44056.0,420448.6761,224749.8753,35.49798194463684,129.4302303494603
쿨펫동물병원 동구점,052-232-3567,0.0,울산광역시 동구 일산동 577-1번지,"울산광역시 동구 방어진순환도로 637 (일산동, 홈플러스)",44068.0,420194.5062,224850.3237,35.498942811717306,129.42745875874522
숲동물병원,052-977-2405,179.0,울산광역시 남구 삼산동 1472-2,울산광역시 남구 돋질로 273 (삼산동),44700.0,411652.8987,229681.5898,35.544306402328715,129.33465650953028
위즈펫동물병원(롯데마트 울산점),268-3567,0.0,울산광역시 남구 달동 830-1번지,"울산광역시 남구 삼산로 74, 2층 (달동, 롯데마트울산점)",44722.0,409970.3908,228450.8647,35.53358041823021,129.31579889138018
울산에스동물메디컬센터,707-2475,0.0,울산광역시 남구 달동 116-2,울산광역시 남구 삼산로 160 (달동),44726.0,410788.7871,228788.4905,35.536447488061064,129.32490307661647
주동물병원,0529038275,0.0,울산광역시 남구 삼산동 180-33번지,울산광역시 남구 돋질로 385-1 (삼산동),44710.0,412785.7908,229635.9396,35.54365302410627,129.34712735930088
대공원 동물병원,258-2520,146.59,울산광역시 남구 신정동 1873 대공원코오롱파크폴리스 207호,"울산광역시 남구 대공원로 241, 207호 (신정동, 대공원코오롱파크폴리스)",44667.0,409204.4716,228147.844,35.531013220421464,129.30728238085717
웰니스동물병원(롯데월드점),0507-1330-1480,0.0,서울특별시 송파구 잠실동 40-1 롯데월드 1층 S-911호,"서울특별시 송파구 올림픽로 240, 롯데월드 1층 S-911호 (잠실동)",5554.0,208589.3633,445455.9041,37.51128662866968,127.09793903616495
분당다원동물병원,031-711-6775,53.0,경기도 성남시 분당구 정자동 180번지 미켈란쉐르빌 116호,"경기도 성남시 분당구 정자일로 100, 116호 (정자동, 미켈란쉐르빌)",13562.0,209409.0211,428565.1512,37.35909179566611,127.10699604147918
한마음,933-6858,50.14,인천광역시 강화군 강화읍 남산리 18-3,인천광역시 강화군 강화읍 강화대로 365-4,23037.0,154862.3117,471427.7905,37.74421152523847,126.48865921163727
인천강화옹진축협 동물병원,032-933-9509,100.0,인천광역시 강화군 강화읍 관청리 117-1번지,인천광역시 강화군 강화읍 강화대로 376-1,23036.0,154848.3159,471570.176,37.74549362045187,126.48849156858972
종합,934-2570,0.0,인천광역시 강화군 강화읍 관청리 119-9 7통,인천광역시 강화군 강화읍 강화대로 378,23036.0,154819.9229,471572.7433,37.74551534738697,126.488169271519
베스트,934-9340,0.0,인천광역시 강화군 강화읍 갑곳리 519-2,인천광역시 강화군 강화읍 강화대로 217,23027.0,156285.1154,471024.5024,37.74064732095561,126.50482588730323
서울동물,933-2729,0.0,인천광역시 강화군 강화읍 남산리,"인천광역시 강화군 강화읍 충렬사로 6, 2층 202호",23037.0,154725.7434,470779.6017,37.738365078071304,126.48715019057931
백제동물병원,061-433-2700,40.0,전라남도 강진군 강진읍 동성리 408,전라남도 강진군 강진읍 탐진로 135,59226.0,178797.0288,127187.8038,34.64282450661041,126.76955035697375
순흥동물병원,061-744-4956,25.0,전라남도 순천시 장천동 19-1번지,전라남도 순천시 팔마로 26 (장천동),57959.0,244798.0753,160940.3163,34.94630568707683,127.49121795705024
무안종합동물병원,061-454-2928,0.0,전라남도 무안군 무안읍 성내리 145-2번지 3통5반 1동 101호,전라남도 무안군 무안읍 성안길 22,58524.0,152200.3424,165768.8168,34.989684928725225,126.47726851651588
이레동물병원,061-745-7577,34.5,전라남도 순천시 황전면 괴목리 45-1번지,전라남도 순천시 황전면 괴목길 11-1,57902.0,238896.8242,178248.9661,35.10256042192791,127.42742673451748
전남야생동물구조관리센터,749-3898,0.0,전라남도 순천시 인월동 226-1 야생동물구조관리센터,"전라남도 순천시 순천만길 922-15, 야생동물구조관리센터 (인월동)",58027.0,244168.5143,154696.2218,34.89005160032994,127.48399681458555
휴 동물병원,0617430075,96.0,전라남도 순천시 조례동 373-5,전라남도 순천시 조례연동길 18 (조례동),57948.0,248225.3307,162368.7784,34.959024039730686,127.52881745122833
진성동물병원,061-742-0202,48.9,전라남도 순천시 장천동 22-10,전라남도 순천시 팔마로 6-1 (장천동),57959.0,244600.0364,160953.915,34.946436980294095,127.48905080715927
오룡 동물병원,061-282-2398,109.0,전라남도 무안군 삼향읍 남악리 1854번지,전라남도 무안군 삼향읍 남악5로48번길 21,58568.0,151772.095,145789.365,34.80957887387999,126.47373117674148
21세기동물병원,061-279-0006,138.91,전라남도 목포시 상동 127-6번지,전라남도 목포시 영산로 503 (상동),58643.0,146606.77,145935.7595,34.81064055579225,126.41727277945272
PET119동물병원,284-6994,298.82,전라남도 목포시 상동 854-8번지,전라남도 목포시 옥암로 129 (상동),58662.0,147273.0679,145850.9423,34.80991078180723,126.42455979689201
우리동물병원,061-281-7520,81.0,전라남도 목포시 석현동 816-17 우진아트빌,"전라남도 목포시 영산로 607, 우진아트빌 상가동 101호 (석현동)",58616.0,146898.4444,146859.2609,34.818979879936876,126.42040193615394
전남낙농농협 보성공장 동물병원,061-858-6330,0.0,전라남도 보성군 벌교읍 장좌리 54-3,전라남도 보성군 벌교읍 남하로 158,59431.0,232672.8171,147813.0677,34.82844223637161,127.35797318575614
제일동물병원,061-744-1997,25.0,전라남도 순천시 인제동 369-20번지 제일동물병원,"전라남도 순천시 팔마로 40-2, 제일동물병원 (인제동)",57959.0,244933.2803,160934.0793,34.946243493573476,127.49269767191119
연향동물병원,061-745-0075,88.16,전라남도 순천시 연향동 1437-4,전라남도 순천시 충효로 81 (연향동),57991.0,246888.415,160944.8401,34.94625205318368,127.51410050775046
전남낙농농협 동물병원,740-8520,183.5,전라남도 순천시 남정동 545-7 전남낙농농협,"전라남도 순천시 우석로 108, 전남낙농농협 (남정동)",57958.0,244571.6075,160056.3063,34.938347594689574,127.48869174509124
