사업장명,소재지전화,소재지면적,소재지전체주소,도로명전체주소,도로명우편번호,좌표정보(x),좌표정보(y),경도,위도,
신한동물병원,053-352-1998,906.91,대구광역시 북구 칠성동2가 2-2,"대구광역시 북구 침산로21길 23 (칠성동2가, 침산1차푸르지오)",41593,343318.9557,266167.7849,127.73945208,36.58580053,
동명동물병원,322-0041,116.58,대구광역시 북구 읍내동 781-1,대구광역시 북구 칠곡중앙대로 531 (읍내동),41442,339825.6956,272538.8772,127.81031653,36.55385797,
굿모닝동물병원,324-0116,320.29,대구광역시 북구 동천동 932-4,대구광역시 북구 대천로 72-1 (동천동),,340446.1276,271863.4358,127.80282984,36.55950007,
가나동물병원,954-3395,476.7,대구광역시 북구 산격동 1216-4,대구광역시 북구 산격로 109 (산격동),,345123.9589,267760.0909,127.75740432,36.60195480,
늘푸른종합동물병원,053-322-9075,1295.6,대구광역시 북구 관음동 1386-7,대구광역시 북구 칠곡중앙대로 471 (관음동),,339699.9293,271940.2976,127.80361879,36.55276987,
도그플러스 동물병원(미유펫 대구점),053-314-0075,91.6,대구광역시 북구 동천동 668-1 13통5반 칠곡홈플러스 301호,"대구광역시 북구 동암로12길 8, 2층 (동천동, 칠곡홈플러스)",41422,340320.7227,272735.6757,127.81256144,36.55830397,
순풍동물병원,053-326-2557,117,대구광역시 북구 태전동 1195,"대구광역시 북구 학정로 149, 한우리메디타워 2층 204호 (태전동)",41467,339911.3593,270114.9105,127.78324903,36.55481087,
다움동물병원,02-831-0075,0,서울특별시 영등포구 신길동 324-49 영민빌딩 1층,"서울특별시 영등포구 가마산로 449-1, 영민빌딩 1층 (신길동)",7383,191647.1628,444844.7641,129.68836226,35.19115559,
남지가축병원,,0,경상남도 창녕군 남지읍 남지리 534-11 2통2반,경상남도 창녕군 남지읍 동포로 9,50358,334530.7064,211069.2418,127.12358169,36.50882632,
창녕축협동물병원,055-533-8292,0,경상남도 창녕군 창녕읍 하리 421-1,경상남도 창녕군 창녕읍 갈전길 153,,334432.4576,230335.725,127.33867466,36.50752413,
미래동물병원,,94.5,경상남도 창녕군 영산면 동리 134-26,경상남도 창녕군 영산면 원다리길 45-2,50345,338740.1281,218198.7156,127.20327702,36.54665449,
광진동물병원,055-532-0636,0,경상남도 창녕군 창녕읍 말흘리 747-11번지,경상남도 창녕군 창녕읍 창녕대로 153-1,50333,336046.1812,226930.0403,127.30070962,36.52216953,
김수의과병원&lt;산업동물출장진료전문병원&gt;,055-521-0438,0,경상남도 창녕군 영산면 서리 216-9번지,경상남도 창녕군 영산면 영산장마로 745,50342,338401.2031,218611.0116,127.20787410,36.54359202,
남창가축병원,055-532-9191,0,경상남도 창녕군 창녕읍 술정리 294-7,경상남도 창녕군 창녕읍 창녕대로 54,,335335.0987,227610.6349,127.30828384,36.51574158,
미소종합동물병원,055-6737194,153.45,경상남도 고성군 고성읍 송학리 416-58번지,경상남도 고성군 고성읍 송학고분로 317,52931,320884.0733,165545.9614,126.61595077,36.38528102,
서울동물병원,055-673-8875,52.4,경상남도 고성군 고성읍 수남리 542-31번지,경상남도 고성군 고성읍 남포로 75-3,52935,320498.7587,164233.9778,126.60134451,36.38176046,
현대동물병원(출장진료전문병원),055-963-4569,41.48,경상남도 함양군 함양읍 교산리 189-1번지 6통2반,경상남도 함양군 함양읍 함양로 1182-1,50033,266044.6187,225182.7285,127.27895083,35.89130169,
이수의과동물병원(출장진료전문),,33,경상남도 함양군 안의면 금천리 115-5,경상남도 함양군 안의면 종로길 11-6,50011,273607.52,236772.1626,127.40767508,35.95910072,
진동물병원(출장전문),,110.95,경상남도 함양군 함양읍 용평리 647-5 진동물병원,"경상남도 함양군 함양읍 용평5길 37, 진동물병원",50046,266101.2203,224380.9957,127.27007180,35.89183216,
신성가축병원,055-964-0095,123,경상남도 함양군 함양읍 용평리 646-2번지,경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원),50046,266159.2732,224480.7461,127.27117853,35.89235292,
형제동물병원(출장진료전문),,49,경상남도 함양군 함양읍 백연리 340,경상남도 함양군 함양읍 돌북1길 27,50044,265394.1243,224340.5635,127.26960233,35.88545985,
함양동물병원,0559638875,39.67,경상남도 함양군 함양읍 용평리 628-7번지 105호,"경상남도 함양군 함양읍 용평중앙길 43, 1층 105호",50039,266266.294,224642.317,127.27297158,35.89331348,
새마을동물병원,,0,충청남도 예산군 예산읍 주교리 225-1 2통우영연립 A동 203호,충청남도 예산군 예산읍 예산로 31,32431,184736.6595,353839.4855,128.68834937,35.14695067,
김태오 동물병원,,0,충청남도 예산군 덕산면 읍내리 234-12번지 2통,충청남도 예산군 덕산면 예덕로 8,32406,170392.0497,355985.5084,128.70919325,35.01736619,
흙 동물병원,,185.88,충청남도 예산군 예산읍 예산리 182,충청남도 예산군 예산읍 아리랑로 236,32434,186713.063,353319.4763,128.68301143,35.16483874,
중앙 동물병원,,0,충청남도 예산군 고덕면 대천리 663번지 1통삼미아파트 B동 603호,충청남도 예산군 고덕면 고덕중앙로 86,32403,173351.3811,360641.3745,128.76076023,35.04330212,
예산 동물병원,,0,충청남도 예산군 예산읍 주교리 240-5번지 1통,충청남도 예산군 예산읍 역전로 51,32431,184653.0123,353622.0069,128.68594797,35.14623019,
한솔가축병원,,134.77,충청남도 예산군 삽교읍 송산리 73-5,충청남도 예산군 삽교읍 충의로 170,,171951.1551,354892.3642,128.69751040,35.03158303,
협동동물병원,,97.92,충청남도 예산군 예산읍 예산리 880번지 한양아파트 30동 1103호,충청남도 예산군 예산읍 사직로 24,32435,186386.2272,353383.2155,128.68365012,35.16188402,
강이동물병원,,48,충청남도 예산군 광시면 광시리 657-2번지 104호,충청남도 예산군 광시면 예당로 190 (104호),,179870.3116,338956.6944,128.52425126,35.10526367,
천안축산업협동조합 부설동물병원,520-6370,216.27,충청남도 천안시 동남구 청당동 511,충청남도 천안시 동남구 청수11로 12 (청당동),31198,213642.1509,364583.4964,128.81200483,35.40568544,
우리동물병원,571-9318,0,충청남도 천안시 서북구 쌍용동 1169번지,충청남도 천안시 서북구 쌍용대로 51 (쌍용동),31155,211655.1828,366747.8646,128.83541704,35.38742397,
장원동물병원(출장진료전문 동물병원),567-4723,36,충청남도 천안시 동남구 원성동 587-10,충청남도 천안시 동남구 충무로 475 (원성동),31186,214028.6888,366400.0683,128.83207439,35.40886634,
하나동물병원,582-9600,0,충청남도 천안시 서북구 성환읍 매주리 330-1,충청남도 천안시 서북구 성환읍 매주4길 20,31011,211329.8702,378909.7904,128.96914566,35.38238582,
그림동물병원,041-568-7277,79,충청남도 천안시 동남구 성황동 10-16번지,충청남도 천안시 동남구 대흥로 320 (성황동),,213381.4239,368329.0298,128.85316898,35.40271088,
에니펫동물병원,523-0275,338.23,충청남도 천안시 동남구 신부동 816번지 대흥빌딩,충청남도 천안시 동남구 터미널2로 8 (신부동),31119,214070.5226,368702.7321,128.85742369,35.40885609,
펫프렌즈동물병원,568-7533,0,충청남도 천안시 서북구 두정동 1263번지 주차빌딩101,"충청남도 천안시 서북구 두정로 203 (두정동,주차빌딩101)",,212382.92,370290.6283,128.87454607,35.39338181,
김수영 동물병원,572-8275,0,충청남도 천안시 서북구 쌍용동 1544-1번지 쌍용메디칼,"충청남도 천안시 서북구 월봉로 85, 쌍용메디칼 (쌍용동)",31171,210450.43,366337.75,128.83065960,35.37663811,
충남야생동물구조센터,041-334-1666,602.41,충청남도 예산군 예산읍 대회리 1 공주대학교 산업과학대학 내,충청남도 예산군 예산읍 대학로 54 (공주대학교 산업과학대학 내),,187383.6021,352103.7718,128.66979506,35.17106541,
KU건국동물병원,335-1023,72.86,충청남도 예산군 예산읍 산성리,충청남도 예산군 예산읍 벚꽃로 153,32428,185301.4694,354781.8455,128.69879330,35.15189542,
마일스톤피그클리닉(출장진료전문),,40,충청남도 예산군 삽교읍 신리 316-46,충청남도 예산군 삽교읍 신촌길 11-12,32416,170788.203,352895.4325,128.67541992,35.02140794,
고려동물병원,041-557-8575,2154.76,충청남도 천안시 동남구 신부동 319-37번지,충청남도 천안시 동남구 중앙로 281-2 (신부동),31117,213530.0613,369125.2048,128.86196092,35.40391524,
서현동물병원,,33,충청남도 천안시 동남구 청수동 262번지 청솔LG아파트 상가 지하1층 2호,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층 2호)",31194,213872.4173,365554.803,128.82274047,35.40759918,
다산동물병원,544-8834,25.36,충청남도 천안시 동남구 청수동 261번지 청솔LG아파트 상가 지하1층1호,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층1호)",31194,214004.6337,365624.3428,128.82353259,35.40877884,
가온동물병원,553-5534,118.81,충청남도 천안시 동남구 청당동 153-15,"충청남도 천안시 동남구 남부대로 344, 1층 (청당동)",31211,213772.1917,364402.1311,128.81003516,35.40688699,
서일동물병원,041-551-5659,281.6,충청남도 천안시 동남구 삼룡동 146-28,충청남도 천안시 동남구 충절로 437 (삼룡동),31070,215243.0551,364669.5698,128.81327524,35.42009480,
유일동물병원(산업동물에 대한 출장진료를 전문으로 함.),041-565-5297,28.88,충청남도 천안시 동남구 신방동 263-3번지,충청남도 천안시 동남구 풍세로 614 (신방동),,211746.4372,362966.6207,128.79383298,35.38887119,
태성동물병원,,0,충청남도 천안시 서북구 성환읍 성환리 449-342,충청남도 천안시 서북구 성환읍 성환1로 275,,211285.2078,379760.9246,128.97849875,35.38183046,
나음동물병원,578-4575,93.96,충청남도 천안시 동남구 신방동 1536번지,충청남도 천안시 동남구 통정10로 33-10 (신방동),31208,211727.7192,363608.4394,128.80089085,35.38859746,
다솜동물병원,579-8252,126.16,충청남도 천안시 동남구 신방동 49-14번지 이화빌딩,"충청남도 천안시 동남구 수곡2길 8-3, 이화빌딩 (신방동)",31176,211392.4156,365298.7908,128.81942091,35.38529775,
치유동물병원,041-900-7582,131.6,충청남도 천안시 동남구 봉명동 32-1,"충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)",31153,212375.3666,366828.811,128.83645475,35.39389897,
다나동물병원(산업동물에 대한 출장진료를 전문으로 함.),,38.2,충청남도 천안시 동남구 수신면 속창리 134-6번지,충청남도 천안시 동남구 수신면 수신로 455,31251,225242.7736,359023.2105,128.75308084,35.51110836,
서울88동물의료원,041-557-8275,275.4,충청남도 천안시 동남구 신부동 88-3,충청남도 천안시 동남구 충절로 35 (신부동),31125,214080.0302,368281.3597,128.85278850,35.40901299,
늘푸른동물병원두정의료센터,041-579-7582,493.12,충청남도 천안시 서북구 성정동 434-9,충청남도 천안시 서북구 쌍용대로 317 (성정동),,212153.4223,369320.5177,128.86382463,35.39147937,
중앙동물병원,041-555-7575,0,충청남도 천안시 동남구 원성동 601-1번지,충청남도 천안시 동남구 원거리7길 2 (원성동),,213653.0927,366407.4517,128.83207904,35.40548115,
녹십자,041-551-5989,0,충청남도 천안시 동남구 영성동 67-3번지 18통3반,충청남도 천안시 동남구 대흥로 94-1 (영성동),31131,213488.8726,366449.864,128.83251227,35.40399452,
천안공주낙농축산업협동조합부설동물병원,581-7547,0,충청남도 천안시 서북구 성환읍 매주리 435-1,충청남도 천안시 서북구 성환읍 성환1로 116,31019,211460.3702,378146.8609,128.96078144,35.38369803,
대전충남 양돈축산업협동조합 부설동물병원,570-1378,0,충청남도 천안시 동남구 다가동 373-3,충청남도 천안시 동남구 차돌로 50 (다가동),,212078.5592,366602.9495,128.83390904,35.39126263,
동물병원닥터스,,141.6,충청남도 천안시 서북구 불당동 1220 1층호,"충청남도 천안시 서북구 불당7길 25, 1층 (불당동)",31164,209927.0468,366866.6218,128.83637067,35.37183433,
한일동물병원,043-643-3037,0,충청북도 제천시 명동 11-9번지,충청북도 제천시 의병대로 55-3 (명동),27169,307181.4996,404632.4359,129.27659498,36.24073142,
명진동물병원,645-8272,130.4,충청북도 제천시 하소동 165-59번지,충청북도 제천시 원뜰로 34 (하소동),27187,306117.8587,404161.0378,129.27107705,36.23125210,
제천 그레이스 동물병원,043-652-7582,0,충청북도 제천시 장락동 635-27,"충청북도 제천시 죽하로 5, 1층 (장락동)",27148,308529.8452,406307.409,129.29557140,36.25251821,
삼성가축병원,,29,충청북도 음성군 삼성면 덕정리 525-19,충청북도 음성군 삼성면 대성로 613,27652,244274.7666,390864.4085,129.10839851,35.67693471,
음성동물병원,043-872-2262,99,충청북도 음성군 음성읍 읍내리 549-12 6통3반,충청북도 음성군 음성읍 중앙로 142,27695,261397.6603,381890.9689,129.01321177,35.83287411,
금왕동물병원,,75.05,충청북도 음성군 금왕읍 금석리 275-10,충청북도 음성군 금왕읍 대금로 1498,,253207.8474,387675.4135,129.07527818,35.75801370,
남영가축병원 (출장진료전문병원),872-7747,198.6,충청북도 음성군 음성읍 읍내리 398-7번지,충청북도 음성군 음성읍 중앙로40번길 24,27706,261590.5758,380889.085,129.00217245,35.83479711,
현대동물병원,,64.8,충청북도 음성군 금왕읍 무극리 551-25,,,252457.8076,387478.1782,129.07292316,35.75129513,
반석가금진료연구소,043-535-6426,0,충청북도 음성군 대소면 대풍리 524-2,충청북도 음성군 대소면 대금로54번길 8,27671,240160.0964,387198.3034,129.06696867,35.64057233,
전동물병원 (출장진료전문병원),,429,,"충청북도 음성군 대소면 대금로 822, A단지 나동 104호 (대왕하이텍공구타운A단지)",27663,246798.5507,386315.267,129.05875979,35.70053814,
대소동물병원,0438837511,174.52,충청북도 음성군 대소면 태생리 519번지,충청북도 음성군 대소면 대금로 502,27666,243886.2011,385135.8415,129.04506476,35.67452585,
그린벨동물의료센터,043-882-7975,240.98,충청북도 음성군 맹동면 동성리 501,"충청북도 음성군 맹동면 대하1길 4, 위너스타워 2층 205, 206호",27738,248149.3503,378611.4112,128.97397949,35.71413233,
음성축산업협동조합 동물병원,873-9303,110,충청북도 음성군 음성읍 읍내리 314-9,충청북도 음성군 음성읍 시장로 99,,261585.1626,381860.5808,129.01291829,35.83456876,
진주동물병원(출장진료전문병원),043-647-6100,0,충청북도 제천시 중앙로2가 27-10 9통3반,충청북도 제천시 의림대로15길 24 (중앙로2가),27169,307432.5986,404885.9124,129.27947866,36.24293908,
바우미우동물병원,2237-3366,306,서울특별시 중구 신당동 336-3 명덕빌딩,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",4608,201064.9637,450779.721,129.75633008,35.27448977,
황동물병원,2278-0075,0,서울특별시 중구 묵정동 32-1,서울특별시 중구 퇴계로 254-1 (묵정동),4619,199930.8583,451121.3448,129.75973442,35.26419282,
서울종합동물병원,928-5599,0,서울특별시 성북구 보문동2가 49번지,서울특별시 성북구 보문로 137 (보문동2가),2871,201537.5976,453866.557,129.79036806,35.27796772,
대학동물병원,918-3344,42,서울특별시 성북구 장위동 8-2 석계역 한일노벨리아시티 210호,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",2779,205326.1448,456806.4324,129.82383234,35.31132803,
강북동물병원,924-4555,0,서울특별시 성북구 종암동 19-1번지,서울특별시 성북구 종암로 65 (종암동),2810,203035.964,454877.3496,129.80193146,35.29120165,
스머프동물병원,02-969-7582,40.2,서울특별시 은평구 응암동 194-23,서울특별시 은평구 백련산로 145 (응암동),3463,193315.1172,455100.9551,129.80137244,35.20362205,
다루동물병원,02-356-8353,0,서울특별시 은평구 불광동 554-1번지 1층,"서울특별시 은평구 불광로 60, 1층 (불광동)",3365,193936.1257,456673.8056,129.81881941,35.20881262,
도담동물병원,02-388-0275,0,서울특별시 은평구 역촌동 51-22번지,서울특별시 은평구 역말로 7 (역촌동),3415,192084.6798,455936.9704,129.81016138,35.19233098,
미래동물병원,386-6092,0,서울특별시 은평구 갈현동 498-3번지,서울특별시 은평구 서오릉로 192 (갈현동),3335,192190.2663,456830.5284,129.81999487,35.19305364,
더독동물병원,382-3243,0,서울특별시 은평구 대조동 224-24번지,서울특별시 은평구 서오릉로 140 (대조동),3394,192656.3021,456562.1634,129.81719637,35.19731818,
오렌지동물병원,02-2297-7582,117.54,서울특별시 성동구 행당동 322-100번지,서울특별시 성동구 행당로8길 41-2 (행당동),,202931.7899,450419.387,129.75294302,35.29138870,
남서울동물병원,02-582-2186,0,서울특별시 서초구 방배동 809-1,서울특별시 서초구 방배로34길 12 (방배동),6585,199192.1512,443359.706,129.67430216,35.25945607,
서초동물병원,582-2357,0,서울특별시 서초구 서초동 1603-66,서울특별시 서초구 효령로57길 4 (서초동),6643,201437.4779,442585.4812,129.66646525,35.27986203,
아델 동물병원,522-0222,0,서울특별시 서초구 서초동 1534-2번지 명성빌딩,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",6671,200886.0325,442481.6826,129.66516261,35.27492162,
동물제중원금손이 동물병원,581-5500,0,서울특별시 서초구 방배동 894-2 선빌딩 101호,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",6661,199582.595,442879.1893,129.66914219,35.26308842,
다니엘동물병원,02-585-0087,175,서울특별시 서초구 서초동 1486-2 삼양빌딩,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",6709,200612.4018,442325.9223,129.66337155,35.27249538,
우신동물병원,2693-8883,1,서울특별시 양천구 신월동 501-12,서울특별시 양천구 중앙로 295 (신월동),8028,186794.8421,446714.2758,129.70741919,35.14700589,
강현림 종합동물병원,2642-9159,1,서울특별시 양천구 목동 657-16,서울특별시 양천구 등촌로 160 (목동),7951,187774.0762,449099.4068,129.73386214,35.15523570,
해성동물병원,02-2651-9953,1,서울특별시 양천구 신정동 1020-17,서울특별시 양천구 은행정로 10 (신정동),8087,187566.1085,446497.5845,129.70527362,35.15400384,
두리종합동물병원,02-3476-7522,0,서울특별시 서초구 반포동 18-3 래미안퍼스티지 중심상가 147-8호,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)",6547,200005.6264,444680.5217,129.68904468,35.26645940,
디아나동물병원,025219010,163.01,서울특별시 서초구 방배동 925-8번지,"서울특별시 서초구 방배로 119, 1층 (방배동)",6682,199509.9016,442495.9495,129.66491315,35.26252665,
이상록동물병원,02-533-5505,26.6,서울특별시 서초구 잠원동 50-5 신사쇼핑센터 102-2호,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)",6515,201230.6934,445992.4593,129.70381544,35.27716909,
햇살동물병원,2690-5673,44.55,서울특별시 양천구 신월동 446-4번지,서울특별시 양천구 월정로 46 (신월동),7936,185992.295,446855.11,129.70872354,35.13974484,
제인동물병원,02-468-7582,51.6,서울특별시 성동구 성수동2가 339-23번지,서울특별시 성동구 뚝섬로 395 (성수동2가),4781,204763.8077,448534.1138,129.73279363,35.30835410,
Dr.윤24시동물병원,02-359-2020,0,서울특별시 은평구 대조동 187-24,서울특별시 은평구 통일로 817 (대조동),3385,193147.6394,457137.1552,129.82365651,35.20159494,
한빛동물병원,02-2233-1848,65.12,서울특별시 성동구 금호동2가 485-1,서울특별시 성동구 금호산길 58(금호동2가),4726,201657.9263,450119.5081,129.74926167,35.27999385,
아지동물병원,02-6085-7750,23.95,서울특별시 성동구 금호동4가 1108번지 지상1층,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",,201790.1175,449530.7077,129.74283648,35.28133097,
24시센트럴동물메디컬센터,02-3395-7975,240,서울특별시 성동구 행당동 318-36,서울특별시 성동구 고산자로 207 (행당동),4714,202907.2189,450712.0867,129.75614995,35.29109421,
리더스 동물병원,02-2652-5475,40,서울특별시 양천구 신정동 117-35 신정동빌딩,"서울특별시 양천구 신목로 80, 신정동빌딩 (신정동)",8009,188828.5448,446633.6155,129.70714194,35.16533807,
오석헌동물병원,02-6402-0301,28.78,서울특별시 성동구 옥수동 561번지 래미안옥수리버젠 상가동 420호,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",4733,201153.9816,449188.9705,129.73889094,35.27568826,
뉴타운동물병원,385-8275,0,서울특별시 은평구 진관동 20번지 상림마을 821동 101호,"서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)",3302,193103.4271,459986.856,129.85490111,35.20046337,
24시스마트동물메디컬센터,02-387-7582,0,서울특별시 은평구 응암동 91-5,서울특별시 은평구 은평로 93 (응암동),3461,192700.3776,455276.7291,129.80311030,35.19804248,
유림동물안과병원,593-1045,0,서울특별시 서초구 잠원동 8-24 크레신타워 1층,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",6524,201565.9572,446206.3549,129.70626463,35.28013535,
서울우유협동조합유우진료소,2094-8344,0,서울특별시 중랑구 상봉동 137-7,서울특별시 중랑구 중랑천로 71 (상봉동),,206321.9193,454381.7629,129.79750822,35.32091300,
펫365동물병원,2282-3653,128.09,서울특별시 성동구 금호동4가 1338 10통4반 현대ESA아파트 910호,서울특별시 성동구 독서당로 328 (금호동4가),4737,202164.8202,449516.5209,129.74279456,35.28470833,
민병철동물병원,2695-1231,0,서울특별시 양천구 신월동 50-5번지,서울특별시 양천구 남부순환로 347 (신월동),7905,184767.7296,448229.827,129.72342562,35.12838038,
옥수수 동물병원,02-2291-7582,292.87,서울특별시 성동구 옥수동 560 어울림상가 301~4호,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",4739,201538.0561,448894.7552,129.73577682,35.27921964,
쿨펫이마트 목동점 동물병원,2645-2727,40,서울특별시 양천구 목동 962 목동트라팰리스,"서울특별시 양천구 오목로 299, 목동트라팰리스 (목동)",8001,188472.7592,447091.856,129.71206031,35.16202196,
둘레길동물병원,02-354-7544,120,서울특별시 은평구 불광동 104-94번지,"서울특별시 은평구 연서로 317 (불광동, 동윤빌딩)",3343,193547.6806,457936.9948,129.83255528,35.20499162,
개와냥이동물병원,02-352-7275,102.71,서울특별시 은평구 대조동 14-27 2층,"서울특별시 은평구 통일로 727-5, 2층 (대조동)",3397,193680.5647,456432.9936,129.81609812,35.20657318,
참좋은동물병원,02-3152-0075,0,서울특별시 은평구 응암동 244-212번지,서울특별시 은평구 백련산로 29 (응암동),3470,193081.8522,453992.5637,129.78914172,35.20180269,
메디펫동물병원,02-384-0075,878.89,서울특별시 은평구 갈현동 394-27,서울특별시 은평구 통일로 885 (갈현동),3329,192825.7957,457740.6732,129.83017603,35.19854256,
윤신근박사동물병원,2274-8558,0,서울특별시 중구 필동2가 53,서울특별시 중구 퇴계로 226 (필동2가),4624,199652.5966,451038.8914,129.75874423,35.26170803,
노아동물병원,0226546183,62.4,서울특별시 양천구 신정동 294-62번지,서울특별시 양천구 목동동로10길 6 (신정동),8014,188498.8896,446254.4703,129.70288614,35.16246259,
양천종합동물병원,2607-0022,128.3,서울특별시 양천구 신월동 444-11,서울특별시 양천구 오목로 45 (신월동),7930,186019.5568,446684.7216,129.70686387,35.14003209,
한수24시동물병원,306-8575,0,서울특별시 은평구 증산동 174-6 103호,"서울특별시 은평구 증산로 267, 103호 (증산동)",3500,191719.6419,453281.9651,129.78092833,35.18971699,
로얄동물병원,354-0975,4717.94,서울특별시 은평구 구산동 1-1번지,서울특별시 은평구 연서로 137 (구산동),3412,192584.6394,456538.9227,129.81691916,35.19667890,
교대동물병원,596-1175,74,서울특별시 서초구 서초동 1690-2번지 지상1층,"서울특별시 서초구 서초대로 325 (서초동,지상1층)",,201436.6463,443641.2975,129.67805911,35.27959825,
필동물종합병원,2649-0774,0,서울특별시 양천구 목동 805-1,서울특별시 양천구 등촌로 16 (목동),7966,187920.9605,447697.3416,129.71853398,35.15690444,
반포자이동물병원,02-3476-3535,32.32,서울특별시 서초구 반포동 20-51 베리스타운102/108호,서울특별시 서초구 사평대로45길 10-25 (반포동),6544,201162.735,444940.18,129.69224049,35.27681504,
하나동물병원,02-574-0511,38.38,서울특별시 서초구 신원동 412-5번지 힐스테이트서초잰트리스 103호,"서울특별시 서초구 헌릉로8길 10-12, 1층 3호 (신원동, 힐스테이트서초잰트리스)",6798,204997.1628,439329.1695,129.63174441,35.31269978,
가나종합동물병원,2645-7588,79.8,서울특별시 양천구 목동 907번지 현대월드타워 160호,"서울특별시 양천구 목동서로 77, 현대월드타워 160호 (목동)",7983,189151.208,448200.0677,129.72441563,35.16785810,
바라봄동물병원,02-2297-9300,35,,"서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)",4701,202372.912,451536.6809,129.76504184,35.28607656,
담은동물병원,02-356-9475,0,"서울특별시 은평구 불광동 643 북한산 힐스테이트7차, 상가동 지하2층 128호, 지하1층 228호","서울특별시 은평구 통일로 796, 상가동 지하2층 128호, 지하1층 228호 (불광동, 북한산 힐스테이트7차)",3357,193457.6985,457135.2177,129.82373196,35.20438706,
신정 동물병원,2697-7576,76.3,서울특별시 양천구 신정동 987-3 1층,"서울특별시 양천구 오목로 198-1 (신정동,1층)",,187507.5025,447012.9668,129.71090671,35.15334974,
토론토 동물병원,2642-8653,52.5,서울특별시 양천구 목동 657-21번지 등촌빌딩,"서울특별시 양천구 등촌로 172, 등촌빌딩 A동 102호 (목동)",7951,187788.8226,449204.6352,129.73502030,35.15534242,
달링동물병원,02-466-8215,51,서울특별시 성동구 성수동1가 718번지 트리마제,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",4773,203911.5131,448508.756,129.73225688,35.30068629,
